date,Total_Irradiance,Global_Irradiance,Direct_Irradiance,Temperature,Atmosphere,Power
2019-01-01 00:00:00,0.0,0.0,0.0,4.6,862.5,0.0
2019-01-01 00:15:00,0.0,0.0,0.0,4.6,862.516,0.0
2019-01-01 00:30:00,0.0,0.0,0.0,4.6,862.476,0.0
2019-01-01 00:45:00,0.0,0.0,0.0,4.6,862.422,0.0
2019-01-01 01:00:00,0.0,0.0,0.0,1.946667,862.388667,0.0
2019-01-01 01:15:00,0.0,0.0,0.0,2.4,862.350667,0.0
2019-01-01 01:30:00,0.0,0.0,0.0,2.4,862.276667,0.0
2019-01-01 01:45:00,0.0,0.0,0.0,3.353333,862.244667,0.0
2019-01-01 02:00:00,0.0,0.0,0.0,3.5,862.313333,0.0
2019-01-01 02:15:00,0.0,0.0,0.0,3.5,862.374667,0.0
2019-01-01 02:30:00,0.0,0.0,0.0,3.5,862.444667,0.0
2019-01-01 02:45:00,0.0,0.0,0.0,2.473333,862.444,0.0
2019-01-01 03:00:00,0.0,0.0,0.0,1.6,862.516,0.0
2019-01-01 03:15:00,0.0,0.0,0.0,2.0,862.476,0.0
2019-01-01 03:30:00,0.0,0.0,0.0,2.4,862.335333,0.0
2019-01-01 03:45:00,0.0,0.0,0.0,2.4,862.268,0.0
2019-01-01 04:00:00,0.0,0.0,0.0,2.4,862.19,0.0
2019-01-01 04:15:00,0.0,0.0,0.0,2.4,862.082667,0.0
2019-01-01 04:30:00,0.0,0.0,0.0,2.4,861.976,0.0
2019-01-01 04:45:00,0.0,0.0,0.0,1.6,861.921333,0.0
2019-01-01 05:00:00,0.0,0.0,0.0,1.4,861.853333,0.0
2019-01-01 05:15:00,0.0,0.0,0.0,1.4,861.762,0.0
2019-01-01 05:30:00,0.0,0.0,0.0,1.4,861.785333,0.0
2019-01-01 05:45:00,0.0,0.0,0.0,0.813333,861.809333,0.0
2019-01-01 06:00:00,0.0,0.0,0.0,0.3,861.891333,0.0
2019-01-01 06:15:00,0.0,0.0,0.0,0.3,862.054,0.0
2019-01-01 06:30:00,0.0,0.0,0.0,0.3,862.099333,0.0
2019-01-01 06:45:00,0.0,0.0,0.0,0.3,862.276667,0.0
2019-01-01 07:00:00,0.0,0.0,0.0,0.3,862.389333,0.0
2019-01-01 07:15:00,0.0,0.0,0.0,0.006667,862.492,0.0
2019-01-01 07:30:00,0.0,0.0,0.0,-0.8,862.798,0.0
2019-01-01 07:45:00,0.0,0.0,0.0,-1.2,863.078,0.0
2019-01-01 08:00:00,0.0,0.0,0.0,-1.8,863.312,0.0
2019-01-01 08:15:00,1.2,1.299333,0.933333,-1.8,863.568,0.0
2019-01-01 08:30:00,9.733333,8.282667,7.066667,-1.8,863.770667,0.170667
2019-01-01 08:45:00,81.866667,66.692,21.466667,-1.333333,863.974667,2.12
2019-01-01 09:00:00,83.8,67.829333,68.2,0.2,864.080667,4.655333
2019-01-01 09:15:00,192.4,156.228,134.4,1.0,863.786667,7.186
2019-01-01 09:30:00,306.866667,249.231333,171.133333,2.153333,863.576,9.883333
2019-01-01 09:45:00,506.8,411.901333,197.866667,1.2,863.46,12.289333
2019-01-01 10:00:00,585.866667,476.264,245.666667,1.42,863.498667,14.256
2019-01-01 10:15:00,635.333333,516.160667,282.4,2.3,863.576,15.846
2019-01-01 10:30:00,683.8,555.299333,319.4,2.446667,863.657333,17.223333
2019-01-01 10:45:00,728.333333,591.732,355.266667,3.4,863.664667,18.484
2019-01-01 11:00:00,771.733333,626.972667,384.6,4.5,863.642667,19.693333
2019-01-01 11:15:00,814.933333,661.78,400.333333,4.5,863.522,20.728
2019-01-01 11:30:00,852.8,692.635333,394.533333,5.16,863.288,21.544667
2019-01-01 11:45:00,896.6,727.984667,376.933333,6.04,862.952667,22.322667
