day,point_index,tail_intensity,is_anomaly
7,0,0.0,False
7,1,0.0,False
7,2,0.0,False
7,3,0.0,False
7,4,0.0,False
7,5,0.0,False
7,6,0.0,False
7,7,0.0,False
7,8,0.0,False
7,9,0.0,False
7,10,0.0,False
7,11,0.0,False
7,12,0.0,False
7,13,0.0,False
7,14,0.0,False
7,15,0.0,False
7,16,0.0,False
7,17,0.0,False
7,18,0.0,False
7,19,0.0,False
7,20,0.0,False
7,21,0.0,False
7,22,0.0,False
7,23,0.0,False
7,24,0.0,False
7,25,0.0,False
7,26,0.0,False
7,27,0.0,False
7,28,0.0,False
7,29,0.0,False
7,30,0.0,False
7,31,0.0,False
7,32,0.0,False
7,33,0.0,False
7,34,0.0,False
7,35,0.0,False
7,36,0.0,False
7,37,0.0,False
7,38,0.0,False
7,39,0.0,False
7,40,0.0,False
7,41,0.0,False
7,42,0.0,False
7,43,0.0,False
7,44,0.0,False
7,45,0.0,False
7,46,0.0,False
7,47,0.0,False
7,48,0.0,False
7,49,0.0,False
7,50,0.0,False
7,51,0.0,False
7,52,0.0,False
7,53,0.0,False
7,54,0.0,False
7,55,0.0,False
7,56,0.0,False
7,57,2.3220905876183013,True
7,58,2.7740757113613594,True
7,59,3.046009426845,True
7,60,3.046009426845,True
7,61,3.046009426845,True
7,62,3.046009426845,True
7,63,3.046009426845,True
7,64,2.9853848050285654,True
7,65,3.046009426845,True
7,66,3.046009426845,True
7,67,2.5997223242165823,True
7,68,2.928226391188617,True
7,69,2.522761283080454,True
7,70,2.4513023190983096,True
7,71,2.522761283080454,True
7,72,2.5997223242165823,True
7,73,2.9853848050285654,True
7,74,3.046009426845,True
7,75,2.822865875530791,True
7,76,2.560501611063301,True
7,77,2.7740757113613594,True
7,78,2.4513023190983096,True
7,79,0.0,False
7,80,0.0,False
7,81,2.4513023190983096,True
7,82,0.0,False
7,83,0.0,False
7,84,0.0,False
7,85,0.0,False
7,86,0.0,False
7,87,0.0,False
7,88,0.0,False
7,89,0.0,False
7,90,0.0,False
7,91,0.0,False
7,92,0.0,False
7,93,0.0,False
7,94,0.0,False
7,95,0.0,False
8,0,0.0,False
8,1,0.0,False
8,2,0.0,False
8,3,0.0,False
8,4,0.0,False
8,5,0.0,False
8,6,0.0,False
8,7,0.0,False
8,8,0.0,False
8,9,0.0,False
8,10,0.0,False
8,11,0.0,False
8,12,0.0,False
8,13,0.0,False
8,14,0.0,False
8,15,0.0,False
8,16,0.0,False
8,17,0.0,False
8,18,0.0,False
8,19,0.0,False
8,20,0.0,False
8,21,0.0,False
8,22,0.0,False
8,23,0.0,False
8,24,0.0,False
8,25,0.0,False
8,26,0.0,False
8,27,0.0,False
8,28,0.0,False
8,29,0.0,False
8,30,0.0,False
8,31,0.0,False
8,32,0.0,False
8,33,0.0,False
8,34,0.0,False
8,35,0.0,False
8,36,0.0,False
8,37,0.0,False
8,38,0.0,False
8,39,0.0,False
8,40,0.0,False
8,41,0.0,False
8,42,0.0,False
8,43,0.0,False
8,44,0.0,False
8,45,0.0,False
8,46,0.0,False
8,47,0.0,False
8,48,0.0,False
8,49,0.0,False
8,50,0.0,False
8,51,0.0,False
8,52,0.0,False
8,53,0.0,False
8,54,0.0,False
8,55,0.0,False
8,56,0.0,False
8,57,0.0,False
8,58,0.0,False
8,59,0.0,False
8,60,0.0,False
8,61,0.0,False
8,62,0.0,False
8,63,0.0,False
8,64,0.0,False
8,65,2.3846109445996375,True
8,66,0.0,False
8,67,0.0,False
8,68,0.0,False
8,69,0.0,False
8,70,0.0,False
8,71,0.0,False
8,72,0.0,False
8,73,0.0,False
8,74,0.0,False
8,75,0.0,False
8,76,0.0,False
8,77,0.0,False
8,78,0.0,False
8,79,0.0,False
8,80,0.0,False
8,81,0.0,False
8,82,0.0,False
8,83,0.0,False
8,84,0.0,False
8,85,0.0,False
8,86,0.0,False
8,87,0.0,False
8,88,0.0,False
8,89,0.0,False
8,90,0.0,False
8,91,0.0,False
8,92,0.0,False
8,93,0.0,False
8,94,0.0,False
8,95,0.0,False
9,0,0.0,False
9,1,0.0,False
9,2,0.0,False
9,3,0.0,False
9,4,0.0,False
9,5,0.0,False
9,6,0.0,False
9,7,0.0,False
9,8,0.0,False
9,9,0.0,False
9,10,0.0,False
9,11,0.0,False
9,12,0.0,False
9,13,0.0,False
9,14,0.0,False
9,15,0.0,False
9,16,0.0,False
9,17,0.0,False
9,18,0.0,False
9,19,0.0,False
9,20,0.0,False
9,21,0.0,False
9,22,0.0,False
9,23,0.0,False
