Day,AnomalyFactor_Original,VolatilityFactor_Original,AnomalyFactor_Normalized,VolatilityFactor_Normalized,TurbulenceScore
0,,3.9471143252394163,,,
1,,3.0598111302385123,,,
2,,5.19987729373477,,,
3,,3.8135829326148944,,,
4,,0.0,,,
5,,0.0,,,
6,,4.976733742420572,,,
7,0.7427255588283282,0.0,0.047230549276543944,0.0,0.047230549276543944
8,0.058462729208200746,0.0,0.0037176946180027624,0.0,0.0037176946180027624
9,0.0,0.0,0.0,0.0,0.0
10,0.8688789354125945,0.0,0.05525274966852315,0.0,0.05525274966852315
11,4.741460856524281,0.0,0.30151352402649123,0.0,0.30151352402649123
12,1.5444071440276312,0.0,0.09821016235675746,0.0,0.09821016235675746
13,0.2784678654759772,2.7575302583655787,0.017708008141048927,0.11975801791927661,0.13746602606032554
14,1.9843079992118993,6.586171654854641,0.12618383146052486,0.28603380168492276,0.4122176331454476
15,0.5093243661483153,2.9485854951282886,0.0323883691454769,0.1280554414555687,0.16044381060104562
16,0.5174904535691213,2.4272885714950028,0.03290765758215515,0.10541580363750848,0.13832346121966363
17,0.23472229486607044,0.0,0.0149261901414353,0.0,0.0149261901414353
18,0.0915023923266405,0.0,0.005818714864912786,0.0,0.005818714864912786
19,0.01681151593431059,0.0,0.001069058580670693,0.0,0.001069058580670693
20,1.4622757875870451,0.0,0.09298735962510526,0.0,0.09298735962510526
21,2.442261146889995,0.0,0.155305461180498,0.0,0.155305461180498
22,3.0224687660641365,0.0,0.1922013566055328,0.0,0.1922013566055328
23,6.776099021539331,2.3234917778133592,0.4308978934889832,0.10090796614779134,0.5318058596367745
24,1.698323731203718,0.0,0.10799784889681083,0.0,0.10799784889681083
25,0.6291743729592302,0.0,0.04000973289847172,0.0,0.04000973289847172
26,0.2849851749325352,0.0,0.018122449386243234,0.0,0.018122449386243234
27,0.42376252283267707,0.0,0.02694741883903236,0.0,0.02694741883903236
28,0.6189919040746851,0.0,0.03936222105147529,0.0,0.03936222105147529
29,1.1283894921761113,3.152184450369528,0.07175524644315703,0.13689763176559572,0.20865287820875275
30,0.0,0.0,0.0,0.0,0.0
31,3.9469378486532345,0.0,0.2509891309602295,0.0,0.2509891309602295
32,1.9765616282835037,0.0,0.12569123315217376,0.0,0.12569123315217376
33,4.211324824431595,0.0,0.2678017233628326,0.0,0.2678017233628326
34,0.697257819029902,0.0,0.04433921707514463,0.0,0.04433921707514463
35,0.0,0.0,0.0,0.0,0.0
36,0.05364605493352662,2.4918270926325734,0.003411398208817738,0.10821867600760456,0.11163007421642229
37,0.0,0.0,0.0,0.0,0.0
38,0.05939840699291397,0.0,0.003777195163248008,0.0,0.003777195163248008
39,0.11928228029240728,0.0,0.007585261541364626,0.0,0.007585261541364626
40,1.273552708784842,0.0,0.08098629871231017,0.0,0.08098629871231017
41,2.573463289148638,0.0,0.16364871687094515,0.0,0.16364871687094515
42,1.1642122363674237,0.0,0.0740332451798881,0.0,0.0740332451798881
43,0.32763977347260315,0.0,0.020834891545088514,0.0,0.020834891545088514
44,0.4135427098491919,0.0,0.026297532249058248,0.0,0.026297532249058248
45,0.412933316634665,0.0,0.02625878041682979,0.0,0.02625878041682979
46,0.3598789576355452,0.0,0.02288500865516276,0.0,0.02288500865516276
47,0.7797675765976949,0.0,0.04958608265595073,0.0,0.04958608265595073
48,2.341014842972994,3.2188758248681997,0.14886712269950717,0.13979400136953507,0.2886611240690422
49,1.9896035371884644,0.0,0.12652057921933707,0.0,0.12652057921933707
50,1.102976433801514,2.824971539161112,0.07013920847117372,0.12268695554000014,0.19282616401117386
51,2.5109645511237484,0.0,0.15967436902345353,0.0,0.15967436902345353
52,1.9181464740595455,0.0,0.12197656386783683,0.0,0.12197656386783683
53,0.9814711691247341,0.0,0.06241258546424605,0.0,0.06241258546424605
54,0.31272833471707256,0.0,0.01988666048644786,0.0,0.01988666048644786
55,0.5036168776820839,2.4430369284631426,0.03202542510504977,0.1060997460929967,0.13812517119804646
56,2.421126262512415,0.0,0.15396147592755471,0.0,0.15396147592755471
57,1.738813146809818,0.0,0.11057260523343015,0.0,0.11057260523343015
58,1.4604472167526843,3.2903347888503442,0.09287107925226584,0.14289742475468367,0.23576850400694951
59,0.2351134482828882,0.0,0.01495106391951942,0.0,0.01495106391951942
60,0.0,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0,0.0
62,0.34217278035987936,0.0,0.02175905779972592,0.0,0.02175905779972592
63,3.6786438208934276,2.411784384959037,0.23392808580284735,0.10474246536919206,0.3386705511720394
64,0.6628894809562612,0.0,0.042153705259042974,0.0,0.042153705259042974
65,0.0,0.0,0.0,0.0,0.0
66,0.23157272640467377,0.0,0.01472590640722463,0.0,0.01472590640722463
67,4.01130058089685,2.714970643946783,0.25508201178366663,0.11790967734323353,0.37299168912690017
68,2.0652655198210965,2.654346022130348,0.13133198897441395,0.11527678346153765,0.24660877243595158
69,0.0,0.0,0.0,0.0,0.0
70,0.25883914377661305,0.0,0.016459801052390397,0.0,0.016459801052390397
71,0.01681151593431059,0.0,0.001069058580670693,0.0,0.001069058580670693
72,0.08879113151706863,0.0,0.005646303486650733,0.0,0.005646303486650733
73,0.4810508097903714,2.5788384696222035,0.030590429676565115,0.11199753211012338,0.1425879617866885
74,0.382982234508332,0.0,0.024354165659145714,0.0,0.024354165659145714
75,0.0,0.0,0.0,0.0,0.0
76,4.168540897211295,0.0,0.26508105708333873,0.0,0.26508105708333873
77,2.9825162885576355,4.388947077518457,0.18966074461882865,0.19060955039809732,0.380270295016926
78,0.0,0.0,0.0,0.0,0.0
79,2.3116657793113817,0.0,0.14700079080744607,0.0,0.14700079080744607
80,0.1306097402762422,0.0,0.008305584345104646,0.0,0.008305584345104646
81,0.24033216104666807,0.0,0.01528292629778289,0.0,0.01528292629778289
82,0.0,0.0,0.0,0.0,0.0
83,0.09474418428032134,0.0,0.006024863169347288,0.0,0.006024863169347288
84,0.587618881491197,2.309505535838619,0.037367183892095604,0.10030055137438934,0.13766773526648496
85,0.3838145404817654,0.0,0.024407092703091018,0.0,0.024407092703091018
86,0.38877547401094986,0.0,0.02472256268082739,0.0,0.02472256268082739
87,0.6897522485441542,0.0,0.04386193147151613,0.0,0.04386193147151613
88,0.641013075202809,0.0,0.04076256603184033,0.0,0.04076256603184033
89,3.3662417907306676,3.450677438925526,0.21406217530022384,0.14986101759384599,0.3639231928940698
90,5.532309024711041,0.0,0.35180423091522883,0.0,0.35180423091522883
91,0.31182696826401285,3.367295829986472,0.019829341827932032,0.146239800315389,0.16606914214332102
92,0.0,0.0,0.0,0.0,0.0
93,0.0,0.0,0.0,0.0,0.0
94,0.09203844131379395,0.0,0.005852802675412176,0.0,0.005852802675412176
95,0.2018443665851646,0.0,0.012835454750247664,0.0,0.012835454750247664
96,4.957794242524497,0.0,0.3152703478306475,0.0,0.3152703478306475
97,0.0,0.0,0.0,0.0,0.0
98,0.16443619158815512,0.0,0.010456637121662175,0.0,0.010456637121662175
99,0.12354239080321089,0.0,0.00785616558797027,0.0,0.00785616558797027
100,1.1006978813058705,0.0,0.06999431338220646,0.0,0.06999431338220646
101,0.972787029306458,0.0,0.06186035363549558,0.0,0.06186035363549558
102,0.461475156434685,0.0,0.029345597248965852,0.0,0.029345597248965852
103,1.1275908669750903,0.0,0.0717044611881433,0.0,0.0717044611881433
104,0.5484894461609031,0.0,0.034878909856600956,0.0,0.034878909856600956
105,2.2477405216225033,0.0,0.14293572936260598,0.0,0.14293572936260598
106,0.2392041082924674,0.0,0.01521119246479367,0.0,0.01521119246479367
107,9.117407404486308,0.0,0.5797836826448161,0.0,0.5797836826448161
108,0.4257756884994546,0.0,0.027075437754089732,0.0,0.027075437754089732
109,0.09787703721862062,0.0,0.0062240839492433385,0.0,0.0062240839492433385
110,0.4481051241611298,0.0,0.02849538553803281,0.0,0.02849538553803281
111,1.541420615099068,0.0,0.09802024644495169,0.0,0.09802024644495169
112,0.25526488332463115,0.0,0.016232510793696673,0.0,0.016232510793696673
113,4.0428362576486645,0.0,0.2570873922597948,0.0,0.2570873922597948
114,0.0,0.0,0.0,0.0,0.0
115,0.12389292041755207,0.0,0.007878456063942506,0.0,0.007878456063942506
116,0.7223185622055875,0.0,0.04593285102431589,0.0,0.04593285102431589
117,3.492448343380086,0.0,0.22208775720336238,0.0,0.22208775720336238
118,0.9218526297757136,3.695799896958507,0.05862139189745737,0.16050655072352782,0.21912794262098517
119,0.6364129337520446,0.0,0.040470039128885554,0.0,0.040470039128885554
120,2.1611064324302656,2.560819964119526,0.13742659402993024,0.11121499835611581,0.24864159238604605
121,0.0,0.0,0.0,0.0,0.0
122,0.0,0.0,0.0,0.0,0.0
123,0.01813604901228191,0.0,0.0011532867643705036,0.0,0.0011532867643705036
124,1.1962555096633447,0.0,0.07607090415149025,0.0,0.07607090415149025
125,5.930865918064256,0.0,0.377148802361943,0.0,0.377148802361943
126,1.972038325076473,0.0,0.12540359245841678,0.0,0.12540359245841678
127,4.726445134219456,0.0,0.30055866148835575,0.0,0.30055866148835575
128,0.42144385330425044,0.0,0.026799972673868563,0.0,0.026799972673868563
129,0.8567663115440501,3.2539671446794713,0.05448249762630986,0.14131799803068512,0.19580049565699498
130,2.2196027600512642,0.0,0.14114642519954673,0.0,0.14114642519954673
131,1.4409373827069487,0.0,0.09163043233050386,0.0,0.09163043233050386
132,0.0,0.0,0.0,0.0,0.0
133,0.03490811281005002,0.0,0.0022198365501614648,0.0,0.0022198365501614648
134,0.0,0.0,0.0,0.0,0.0
135,1.7967185659239433,0.0,0.11425486002908175,0.0,0.11425486002908175
136,4.028840179012657,0.0,0.25619736972880885,0.0,0.25619736972880885
137,0.0,0.0,0.0,0.0,0.0
138,0.2920520909834711,0.0,0.018571840581698345,0.0,0.018571840581698345
139,0.019451608651076615,0.0,0.0012369443194495894,0.0,0.0012369443194495894
140,0.01681151593431059,0.0,0.001069058580670693,0.0,0.001069058580670693
141,2.5637431712189276,0.0,0.163030606313962,0.0,0.163030606313962
142,0.08595898717726726,0.0,0.005466205022003455,0.0,0.005466205022003455
143,0.1470867233664523,0.0,0.00935336969801294,0.0,0.00935336969801294
144,5.081494110413972,4.506730113174835,0.32313652752031974,0.19572480266121617,0.5188613301815359
145,2.727360976453344,0.0,0.1734352015521208,0.0,0.1734352015521208
146,0.08024302318871157,0.0,0.005102722015911255,0.0,0.005102722015911255
147,0.0,0.0,0.0,0.0,0.0
148,0.05450153275737149,4.1882763820563,0.0034657987704166076,0.18189453279489073,0.18536033156530735
149,1.0520376495185078,0.0,0.06689996790301407,0.0,0.06689996790301407
150,0.4796830178760961,0.0,0.030503450626713714,0.0,0.030503450626713714
151,0.0,0.0,0.0,0.0,0.0
152,1.1108085171948765,0.0,0.07063725730799005,0.0,0.07063725730799005
153,3.9206830773007924,0.0,0.24931956774489855,0.0,0.24931956774489855
154,0.0,0.0,0.0,0.0,0.0
155,5.181849490719647,2.6741486494265283,0.3295182114119724,0.11613680064081978,0.4456550120527922
156,2.1687042665754155,0.0,0.1379097467580437,0.0,0.1379097467580437
157,2.2156645247310056,23.02585084720009,0.14089598946976042,1.0,1.1408959894697603
158,5.77172513168551,0.0,0.36702890455631676,0.0,0.36702890455631676
159,2.0811633695031326,4.794412185626612,0.1323429467418873,0.2082186763669411,0.3405616231088284
160,0.0,0.0,0.0,0.0,0.0
161,0.0,0.0,0.0,0.0,0.0
162,0.0,0.0,0.0,0.0,0.0
163,0.0,0.0,0.0,0.0,0.0
164,0.6378729788172696,0.0,0.04056288463498053,0.0,0.04056288463498053
165,0.0,0.0,0.0,0.0,0.0
166,0.0,0.0,0.0,0.0,0.0
167,0.0,0.0,0.0,0.0,0.0
168,0.45815374319448016,0.0,0.02913438575927815,0.0,0.02913438575927815
169,1.2205449646007318,0.0,0.07761549122633173,0.0,0.07761549122633173
170,1.4052381374242582,0.0,0.08936028699429191,0.0,0.08936028699429191
171,1.9229257953402232,0.0,0.12228048496839998,0.0,0.12228048496839998
