dataset,window_id,start_index,end_index,start_time,end_time,points_per_day,reference_days,alpha,beta,method,volatility,anomaly_density_intensity,turbulence_score,mean,std,cv,trend,range,mean_abs_change,max_abs_change,skewness,kurtosis,realized_volatility,volatility_shock,volatility_ratio_late_early,upside_volatility,downside_volatility,cumulative_change,momentum,trend_consistency,reversal_rate,mean_crossing_rate,lag1_autocorr,mean_reversion_strength,jump_intensity,tail_ratio,max_drawdown,max_drawup,direction_entropy,spectral_entropy,dominant_frequency_energy_ratio,top3_frequency_energy_ratio,low_freq_energy_ratio,mid_freq_energy_ratio,high_freq_energy_ratio,spectral_centroid,spectral_bandwidth,spectral_flatness,daily_cycle_energy_ratio
Solar5,0,0,95,2019-01-01T00:00:00,2019-01-01T23:45:00,96,30,0.05,0.05,sum,1.8555380310061789,0.07205238378571999,1.0931154372590022,9.313020833333333,17.280664358358237,1.8555380310061789,0.07000345903418344,74.18,2.7568421052631584,44.25000000000001,2.1372475170824505,3.713730794805577,7.886688051460679,0.0,11.452335797263531,12.676226530305424,11.549810889315346,0.0,0.0,0.525,0.38461538461538464,0.021052631578947368,-0.29765999091282264,0.31871262249177,0.042105263157894736,1186599999.9999995,74.18,74.18,0.8847110186697279,0.4627440485380226,0.46504603398996286,0.7992216487884716,0.927264830920644,0.030399788320567712,0.0423353807587883,0.041337912360812114,0.07840561039521489,0.10051806002559277,0.46504603398996286
Solar5,1,96,191,2019-01-02T00:00:00,2019-01-02T23:45:00,96,30,0.05,0.05,sum,0.7452249441955212,0.0,0.4117823927478224,4.419479166666666,6.940295438264809,1.5703876318520038,0.011225244167118844,23.29,0.5602105263157895,5.52,1.2828378137312455,0.10661149367041034,1.0839761116031643,-0.8625562323302537,1.5154470836053306,1.472815331261866,1.8951697604839075,0.0,0.0,0.5128205128205128,0.23684210526315788,0.021052631578947368,0.26263735673063665,0.021052631578947368,0.0,222899999.9999999,23.29,23.29,0.8751674595859606,0.23810121550646676,0.6338966543567196,0.9867929007390686,0.9927618635553388,0.00494600615352757,0.002292130291133351,0.01673755980010977,0.023274448491506217,0.010446929929858614,0.6338966543567196
Solar5,2,192,287,2019-01-03T00:00:00,2019-01-03T23:45:00,96,30,0.05,0.05,sum,2.8093215835551684,0.21144750151116856,1.571768294874346,11.260104166666666,19.28950435117889,1.713084004244903,0.054464663591969616,69.84,2.0781052631578945,22.09,1.5239685576899555,0.8605546576531786,4.670959779655345,-0.16803984411445683,3.929054003730198,6.2731820508796226,8.542476587617902,0.0,0.0,0.5897435897435898,0.23684210526315788,0.021052631578947368,0.16343569142661077,0.021052631578947368,0.042105263157894736,1058900000.0,69.84,69.84,0.8692384444251023,0.3257609582301301,0.5538259260344772,0.9372224621141876,0.9730027576702288,0.019338215299724813,0.007659027030046073,0.02249792754293214,0.037259295969595756,0.03847632822390166,0.5538259260344772
Solar5,3,288,383,2019-01-04T00:00:00,2019-01-04T23:45:00,96,30,0.05,0.05,sum,0.49035825188546656,0.0,0.27973021654465746,2.4382291666666664,4.085109901314281,1.6754413163487305,-0.0006323250135648474,16.21,0.7242105263157896,6.34,1.6428449002584962,1.749285378456018,1.5064290295439184,-0.7163213920876829,0.6594349021216709,2.9982020253170707,1.9872231882705074,0.0,0.0,0.6578947368421053,0.4594594594594595,0.021052631578947368,-0.06879800284062708,0.08985063441957444,0.0,376599999.99999994,16.21,16.21,0.8465047087423441,0.3538184671424156,0.5657702261858893,0.9117984026367879,0.9327662524295336,0.033560466774019124,0.0336732807964473,0.03097195544251266,0.06020898605374057,0.062443002297656425,0.5657702261858893
Solar5,4,384,479,2019-01-05T00:00:00,2019-01-05T23:45:00,96,30,0.05,0.05,sum,0.5313733476471962,0.0,0.2773773945286928,2.336875,3.644003439585141,1.5593488842970429,-0.00863754747693977,12.95,0.5311578947368422,5.16,1.2838800507525825,0.29106617706464144,1.1827817345473963,-0.746059260951033,0.514573417725581,2.230396545460022,1.5224079896520912,0.0,0.0,0.5897435897435898,0.39473684210526316,0.021052631578947368,0.07095658167196374,0.021052631578947368,0.0,272200000.0,12.95,12.95,0.8692384444251025,0.37374182437230236,0.6024287656925741,0.8572106850648775,0.9500446634782718,0.03438841422133421,0.0155669223003941,0.02918662808388476,0.053113903445863093,0.07207046151817617,0.6024287656925741
Solar5,5,480,575,2019-01-06T00:00:00,2019-01-06T23:45:00,96,30,0.05,0.05,sum,1.9434536080414964,0.033639231687614214,1.0060008125642839,7.458541666666666,11.570432052143252,1.5512995105115845,-0.005685702658708663,45.29,1.9421052631578948,12.979999999999997,1.5021674273820007,1.2159832317814905,3.751688181409313,-0.10633027624666969,0.8811147655231854,6.462544648459563,5.04492814616819,0.0,0.0,0.5609756097560976,0.375,0.06315789473684211,-0.11252825619085981,0.1756861509277019,0.06315789473684211,973600000.0,45.29,45.29,0.8917480288932375,0.37016144691770936,0.5901461063698615,0.8580107937011765,0.9571304456820552,0.023008761219230366,0.019860793098714438,0.028667758195426753,0.05631381743586202,0.05514870332298899,0.5901461063698615
Solar5,6,576,671,2019-01-07T00:00:00,2019-01-07T23:45:00,96,30,0.05,0.05,sum,0.46948848403903487,0.0,0.24133033569264145,1.9455208333333331,2.912882617854572,1.4972250890223424,0.005759834508952785,8.5,0.2856842105263158,1.9399999999999995,1.1185241795359226,-0.39049019262307416,0.501717051733345,-0.878340239131788,1.3562430785675517,0.7256163225968993,0.8451331256080311,0.0,0.0,0.5384615384615384,0.2894736842105263,0.021052631578947368,0.4195722900131306,0.021052631578947368,0.0,104300000.00000001,8.5,8.5,0.8741836657567171,0.25064231520179475,0.6676338366536664,0.9592328664666321,0.985060248433988,0.01236217011332803,0.0025775814526839006,0.017562238162063693,0.02410719985049101,0.010446182023434444,0.6676338366536664
Solar5,7,672,767,2019-01-08T00:00:00,2019-01-08T23:45:00,96,30,0.05,0.05,sum,1.5488968019354945,0.013232749355712881,0.8404009159661647,5.044375,8.66757581118898,1.7182655520270254,-0.01044465545306567,41.81,1.848,29.040000000000003,1.859707412234626,3.0984264448502996,4.760563213030908,0.2454990476930217,0.5214534649235286,8.363176992732171,6.775147160587662,0.0,0.0,0.5526315789473685,0.4594594594594595,0.021052631578947368,-0.5319437966347504,0.5529964282136978,0.05263157894736842,897199999.9999999,41.81,41.81,0.8629526283517037,0.41292971346179597,0.5364179072157854,0.8694963988011969,0.8968951084710851,0.03420841468382576,0.06889647684508914,0.04920575041561956,0.10250048456993578,0.12233545804618982,0.5364179072157854
Solar5,8,768,863,2019-01-09T00:00:00,2019-01-09T23:45:00,96,30,0.05,0.05,sum,0.6401303278794758,0.0,0.3275972590937565,2.1244791666666667,3.538011997633601,1.665354989821451,0.0011131985892566443,12.69,0.5037894736842106,5.039999999999999,1.5496463439185668,1.07865056637793,1.1401717322172868,-0.7112127277171229,0.8561774782141237,1.7858205396959683,1.8214173357885644,0.0,0.0,0.5263157894736842,0.5135135135135135,0.021052631578947368,-0.03807636000880984,0.05912899158775721,0.0,271399999.9999999,12.69,12.69,0.8644689999796028,0.39023309167791254,0.5542999841728525,0.8467484460347645,0.9464535883341371,0.039710273516599615,0.013836138149263313,0.029248023517412815,0.053545685072237,0.05223995778449668,0.5542999841728525
Solar5,9,864,959,2019-01-10T00:00:00,2019-01-10T23:45:00,96,30,0.05,0.05,sum,1.2345449013379117,0.0,0.6176558031935093,4.177812500000001,6.356620269963466,1.5215187983539895,0.011518787303309823,22.47,0.8846315789473683,7.539999999999999,1.2735171191072627,0.3093561313741682,1.8569646993782196,-0.5036504885256079,0.8923806817953832,3.2994292435712778,2.5036925111674937,0.0,0.0,0.5384615384615384,0.4473684210526316,0.021052631578947368,-0.10583008893428443,0.1268827205132318,0.0,465799999.99999994,22.47,22.47,0.8741836657567172,0.3298047895706284,0.6337096906156627,0.8902407818769744,0.9661391645561731,0.020600874871267112,0.01325996057255957,0.02540306020974937,0.04951964705628051,0.042109408241124524,0.6337096906156627
