dataset,window_id,start_index,end_index,start_time,end_time,points_per_day,reference_days,alpha,beta,method,volatility,anomaly_density_intensity,turbulence_score,mean,std,cv,trend,range,mean_abs_change,max_abs_change,skewness,kurtosis,realized_volatility,volatility_shock,volatility_ratio_late_early,upside_volatility,downside_volatility,cumulative_change,momentum,trend_consistency,reversal_rate,mean_crossing_rate,lag1_autocorr,mean_reversion_strength,jump_intensity,tail_ratio,max_drawdown,max_drawup,direction_entropy,spectral_entropy,dominant_frequency_energy_ratio,top3_frequency_energy_ratio,low_freq_energy_ratio,mid_freq_energy_ratio,high_freq_energy_ratio,spectral_centroid,spectral_bandwidth,spectral_flatness,daily_cycle_energy_ratio
ETTh2,0,0,23,2016-07-01T00:00:00,2016-07-01T23:00:00,24,30,0.05,0.05,sum,0.1282748990224615,0.028719592955883944,1.071398418919977,29.131479104359943,3.736837541769468,0.1282748990224615,-0.47756413335385645,12.963499069213867,0.5923043955927313,2.8564987182617188,1.2934034749866081,0.5136206868732818,0.9411834960111343,0.23709990175477727,0.21913796722881754,0.2197505474948921,1.162681555041833,-12.743999481201172,-0.659500122070316,0.8823529411764706,0.1875,0.043478260869565216,0.41454980931677216,0.043478260869565216,0.043478260869565216,7.990642409713605,12.963499069213867,0.22000122070312855,0.7661350110985072,0.638866066391811,0.5186046903405973,0.8148556867704508,0.6872784200066471,0.23190836297314488,0.08081321702020812,0.10440822646681638,0.10395977645098825,0.3979309477393154,0.5186046903405973
ETTh2,1,24,47,2016-07-02T00:00:00,2016-07-02T23:00:00,24,30,0.05,0.05,sum,0.04238704345436971,0.0,0.36108396672722354,26.842687288920086,1.2347972711104385,0.04600125379995452,0.14282152590544284,4.1749992370605575,0.36302168472953555,1.317998886108402,0.8660102343375122,-0.5869966850695274,0.4804558194984358,-0.36848461997697446,2.320747761534055,0.43940390419142844,0.6830427012060692,1.3185005187988281,-1.3180007934570312,0.6842105263157895,0.2777777777777778,0.043478260869565216,0.40882300527552273,0.043478260869565216,0.0,3.995238367767748,2.4169998168945312,4.1749992370605575,0.8895131213678054,0.2973354704239249,0.8016601704625577,0.9571454500448966,0.9322348121860269,0.05157762415371148,0.01618756366026166,0.059169225026941843,0.053821727492690236,0.07336995382997241,0.8016601704625577
ETTh2,2,48,71,2016-07-03T00:00:00,2016-07-03T23:00:00,24,30,0.05,0.05,sum,0.06709252079947589,0.0,0.6771664980279961,29.90054194132487,1.8777239621581578,0.06279899425284355,0.19708912890890248,5.712501525878906,0.4967392631199051,1.7580013275146449,0.2767386111980817,-1.4029592861023348,0.6917998705935331,-0.009038443676341417,1.4841598869975492,0.9451223710275843,0.6947528366431699,1.757999420166012,-3.5155010223388707,0.5,0.2,0.08695652173913043,0.5024657470317253,0.08695652173913043,0.0,2.502273983571981,3.5155010223388707,5.712501525878906,0.9982526816976661,0.20911906058930355,0.8895749672744545,0.9715877108134915,0.9253591479384224,0.05611637031455859,0.018524481747019133,0.05453242644502215,0.05036524701512814,0.06803124021528277,0.8895749672744545
ETTh2,3,72,95,2016-07-04T00:00:00,2016-07-04T23:00:00,24,30,0.05,0.05,sum,0.11316195964280826,0.17930030083080317,1.283118708470138,31.630895614624023,3.239250094097783,0.10240778928738556,0.291375873399817,10.107500076293949,0.821608501931896,3.0764999389648438,0.4718018176375971,-1.0257109050450597,1.1500408999946914,0.622205053006011,1.5379713132074477,1.422167775594899,1.0089851754249957,2.6370010375976562,-1.3180007934570312,0.5714285714285714,0.3,0.043478260869565216,0.6056739234647547,0.043478260869565216,0.13043478260869565,5.849934552802331,6.152500152587891,10.107500076293949,0.836477065293406,0.24285721230711815,0.8458502985331177,0.9821596466090795,0.9384594358016688,0.051703642932198694,0.009836921266132613,0.053527516371799005,0.03967926900919977,0.051604611749293046,0.8458502985331177
ETTh2,4,96,119,2016-07-05T00:00:00,2016-07-05T23:00:00,24,30,0.05,0.05,sum,0.05418325175417146,0.0,0.5548322505221122,31.8872709274292,1.5917089308685914,0.049916749978131475,0.15763367860213548,5.712999343872074,0.6687609631082287,1.9770011901855398,-0.30147395365686874,-0.9188933109504842,0.8765373732513353,0.043933360327486355,0.9013522702263661,1.0228028780793221,0.9086350800833064,1.7574977874755895,-0.4395027160644531,0.5263157894736842,0.2222222222222222,0.13043478260869565,0.5061814868361064,0.13043478260869565,0.0,3.945562078981069,3.7354984283447337,5.712999343872074,0.940725014049597,0.5055106744537557,0.44238201938559474,0.9067136860921865,0.8413672861870596,0.14317010593726792,0.015462607875672302,0.0829683551672548,0.055470019904907526,0.11495279359154471,0.3989852668014649
ETTh2,5,120,143,2016-07-06T00:00:00,2016-07-06T23:00:00,24,30,0.05,0.05,sum,0.033059280699709766,0.0014778924119543957,0.3626224313185285,33.39783318837484,0.9877641973474047,0.029575697066343512,0.03868090422257027,3.9554977416992188,0.4968258401621943,2.417499542236328,1.3270316225928271,1.0931726699816764,0.7274126275585481,-0.13912262671168196,3.806765108394148,0.5851667991271321,1.0248992630997869,0.0,-0.6590003967285156,0.5789473684210527,0.2777777777777778,0.17391304347826086,0.07554867484620582,0.17391304347826086,0.043478260869565216,2.9534231737452745,3.9554977416992188,3.9554977416992188,0.9323544458797425,0.6102930360762281,0.4794827003826533,0.8184731947241978,0.7703577831019243,0.1636971131419089,0.06594510375616691,0.09959461952087793,0.09125639301130693,0.3321397908096221,0.4794827003826533
ETTh2,6,144,167,2016-07-07T00:00:00,2016-07-07T23:00:00,24,30,0.05,0.05,sum,0.18120457853617433,1.0753208298368535,1.9796055759473805,38.76281261444092,5.520418871020909,0.142415333079833,0.555705791970958,16.918498992919922,1.2419130076532776,4.8339996337890625,0.575789458476602,-0.9277883196246925,1.7301033543226148,1.0987623946419214,2.6558397235892692,2.3149382877941114,1.513438751689019,5.27299880981446,-4.833999633789055,0.5,0.11764705882352941,0.043478260869565216,0.7793614940750917,0.043478260869565216,0.13043478260869565,2.800184024653988,10.986499786376946,16.918498992919922,0.9703599343920261,0.19299550060307363,0.8941688332587417,0.9780260779815192,0.9476390640040014,0.04617210108286121,0.006188834913137228,0.05073861895298928,0.03555954924280207,0.04439595744097493,0.8941688332587417
ETTh2,7,168,191,2016-07-08T00:00:00,2016-07-08T23:00:00,24,30,0.05,0.05,sum,0.12419688345893465,0.41173844103130414,0.9937969813461495,41.2622709274292,3.930893828062724,0.09526605634536202,0.3563337110436469,12.304500579833984,0.9935435419497279,2.196998596191399,0.3009182750757986,-1.2954282232939243,1.1444756721104092,0.14645593440627283,1.1556396333525352,1.4574889716143868,0.9201796668966806,1.7574996948242259,-5.2735023498535085,0.5909090909090909,0.09523809523809523,0.08695652173913043,0.7935335760794568,0.08695652173913043,0.0,1.5803830182734797,8.569499969482415,12.304500579833984,0.7518181887591273,0.09007176968875855,0.9515672809801993,0.9955502569696593,0.9941407511621464,0.0028460640389180807,0.003013184798935521,0.04491284661239373,0.022205836567920634,0.01472881204953735,0.9515672809801993
ETTh2,8,192,215,2016-07-09T00:00:00,2016-07-09T23:00:00,24,30,0.05,0.05,sum,0.07198205965071293,0.0016005897247501528,0.4785751759258179,39.99879169464111,2.3647527492945,0.05912060461116665,0.21208262899647468,7.690498352050781,0.6687824415123981,2.197002410888672,0.09036256468348393,-1.2243730080254591,0.8247266735735677,-0.18787687134614503,1.2001457509987723,1.2318175794948414,0.5989503995871145,0.43900299072265625,-2.4169998168945312,0.6666666666666666,0.2,0.08695652173913043,0.5783640461112943,0.08695652173913043,0.0,1.9674500288993613,4.394996643066406,7.690498352050781,0.7979196219596977,0.1587504212050323,0.9068201899220664,0.9849632637034058,0.980798405800119,0.0120625494922062,0.007139044707674832,0.049079024820500666,0.035356372649605616,0.0335727313816565,0.9068201899220664
ETTh2,9,216,239,2016-07-10T00:00:00,2016-07-10T23:00:00,24,30,0.05,0.05,sum,0.05303191996210752,0.0,0.3499669934171722,39.12906265258789,1.7843154166421449,0.04560077076285719,0.1535258881942081,5.932498931884766,0.544565117877462,1.5380020141601491,0.2845375313618635,-1.0459548613016485,0.6430584760034298,-0.3540146338301414,1.838894548597204,0.8580395657748693,0.5277821163492801,-0.21999740600585938,-2.4169998168945312,0.6190476190476191,0.2,0.13043478260869565,0.5810789203869584,0.13043478260869565,0.0,1.999990406960578,3.5154991149902344,5.932498931884766,0.8212019455913929,0.1889609634074182,0.8844495465477317,0.9872493567296433,0.9687241841403466,0.021705234185592764,0.009570581674060523,0.050541159559042766,0.038486901232583304,0.03362491002708494,0.8844495465477317
